,datetime,symbol,open,high,low,close,volume
126,2023-10-05 10:25:00,OANDA:EURCAD,1.44419,1.445,1.44408,1.44494,644.0
127,2023-10-05 10:20:00,OANDA:EURCAD,1.44424,1.44462,1.44414,1.44419,722.0
128,2023-10-05 10:15:00,OANDA:EURCAD,1.44478,1.44486,1.44416,1.44424,932.0
129,2023-10-05 10:10:00,OANDA:EURCAD,1.44444,1.44478,1.444215,1.44478,1098.0
130,2023-10-05 10:05:00,OANDA:EURCAD,1.44407,1.444505,1.44385,1.44444,881.0
131,2023-10-05 10:00:00,OANDA:EURCAD,1.44338,1.44418,1.44328,1.44407,875.0
132,2023-10-05 09:55:00,OANDA:EURCAD,1.44306,1.44347,1.44295,1.44338,528.0
133,2023-10-05 09:50:00,OANDA:EURCAD,1.44326,1.4434,1.44299,1.44306,254.0
134,2023-10-05 09:45:00,OANDA:EURCAD,1.44312,1.44336,1.44308,1.44326,330.0
135,2023-10-05 09:40:00,OANDA:EURCAD,1.44337,1.44345,1.44302,1.44312,444.0
136,2023-10-05 09:35:00,OANDA:EURCAD,1.44358,1.44368,1.4433,1.44337,267.0
137,2023-10-05 09:30:00,OANDA:EURCAD,1.44387,1.44399,1.44351,1.44358,392.0
138,2023-10-05 09:25:00,OANDA:EURCAD,1.4435,1.444,1.443395,1.44387,534.0
139,2023-10-05 09:20:00,OANDA:EURCAD,1.44326,1.44354,1.44316,1.4435,294.0
140,2023-10-05 09:15:00,OANDA:EURCAD,1.44322,1.443325,1.44313,1.44326,349.0
141,2023-10-05 09:10:00,OANDA:EURCAD,1.44318,1.44328,1.44302,1.44322,493.0
142,2023-10-05 09:05:00,OANDA:EURCAD,1.44326,1.44336,1.44306,1.44318,518.0
143,2023-10-05 09:00:00,OANDA:EURCAD,1.44328,1.44366,1.4432,1.44326,732.0
144,2023-10-05 08:55:00,OANDA:EURCAD,1.44344,1.44356,1.44316,1.44328,243.0
145,2023-10-05 08:50:00,OANDA:EURCAD,1.4432,1.44349,1.44318,1.44344,125.0
146,2023-10-05 08:45:00,OANDA:EURCAD,1.44364,1.44369,1.4431,1.4432,449.0
147,2023-10-05 08:40:00,OANDA:EURCAD,1.44382,1.44383,1.44357,1.44364,339.0
148,2023-10-05 08:35:00,OANDA:EURCAD,1.44388,1.44396,1.44374,1.44382,335.0
149,2023-10-05 08:30:00,OANDA:EURCAD,1.4439,1.44422,1.44386,1.44388,432.0
150,2023-10-05 08:25:00,OANDA:EURCAD,1.44404,1.4441,1.44389,1.4439,434.0
151,2023-10-05 08:20:00,OANDA:EURCAD,1.4437,1.44406,1.44368,1.44404,522.0
152,2023-10-05 08:15:00,OANDA:EURCAD,1.44353,1.443765,1.44341,1.4437,289.0
153,2023-10-05 08:10:00,OANDA:EURCAD,1.44343,1.44357,1.44339,1.44353,228.0
154,2023-10-05 08:05:00,OANDA:EURCAD,1.44314,1.44343,1.44314,1.44343,195.0
155,2023-10-05 08:00:00,OANDA:EURCAD,1.44294,1.44317,1.44292,1.44314,399.0
156,2023-10-05 07:55:00,OANDA:EURCAD,1.44328,1.44328,1.44294,1.44294,164.0
157,2023-10-05 07:50:00,OANDA:EURCAD,1.44328,1.44332,1.44318,1.44328,126.0
158,2023-10-05 07:45:00,OANDA:EURCAD,1.44338,1.443425,1.44327,1.44328,82.0
159,2023-10-05 07:40:00,OANDA:EURCAD,1.44322,1.4434,1.4432,1.44338,72.0
160,2023-10-05 07:35:00,OANDA:EURCAD,1.44332,1.44339,1.44322,1.44322,122.0
161,2023-10-05 07:30:00,OANDA:EURCAD,1.4433,1.44349,1.44326,1.44332,199.0
162,2023-10-05 07:25:00,OANDA:EURCAD,1.44338,1.44342,1.44327,1.4433,362.0
163,2023-10-05 07:20:00,OANDA:EURCAD,1.44316,1.4434,1.44316,1.44338,302.0
164,2023-10-05 07:15:00,OANDA:EURCAD,1.44322,1.4433,1.44315,1.44316,190.0
165,2023-10-05 07:10:00,OANDA:EURCAD,1.44318,1.44331,1.44315,1.44322,100.0
166,2023-10-05 07:05:00,OANDA:EURCAD,1.44325,1.44331,1.44316,1.44318,104.0
167,2023-10-05 07:00:00,OANDA:EURCAD,1.44328,1.44331,1.44315,1.44325,74.0
168,2023-10-05 06:55:00,OANDA:EURCAD,1.44342,1.44346,1.443235,1.44328,87.0
169,2023-10-05 06:50:00,OANDA:EURCAD,1.44342,1.443505,1.44337,1.44342,106.0
170,2023-10-05 06:45:00,OANDA:EURCAD,1.44358,1.44358,1.443395,1.44342,371.0
171,2023-10-05 06:40:00,OANDA:EURCAD,1.44371,1.44374,1.44344,1.44358,232.0
172,2023-10-05 06:35:00,OANDA:EURCAD,1.44348,1.44375,1.44348,1.44371,156.0
173,2023-10-05 06:30:00,OANDA:EURCAD,1.44358,1.4437,1.44344,1.44348,208.0
174,2023-10-05 06:25:00,OANDA:EURCAD,1.44362,1.44368,1.44353,1.44358,122.0
175,2023-10-05 06:20:00,OANDA:EURCAD,1.4437,1.44376,1.44358,1.44362,165.0
176,2023-10-05 06:15:00,OANDA:EURCAD,1.4436,1.44386,1.44356,1.4437,223.0
177,2023-10-05 06:10:00,OANDA:EURCAD,1.44358,1.44367,1.44347,1.4436,223.0
178,2023-10-05 06:05:00,OANDA:EURCAD,1.44368,1.44377,1.44356,1.44358,270.0
179,2023-10-05 06:00:00,OANDA:EURCAD,1.44368,1.4437,1.44355,1.44368,144.0
180,2023-10-05 05:55:00,OANDA:EURCAD,1.44364,1.443685,1.44357,1.44368,123.0
181,2023-10-05 05:50:00,OANDA:EURCAD,1.44364,1.44376,1.44358,1.44364,116.0
182,2023-10-05 05:45:00,OANDA:EURCAD,1.44363,1.4437,1.44347,1.44364,81.0
183,2023-10-05 05:40:00,OANDA:EURCAD,1.44364,1.44372,1.44358,1.44363,98.0
184,2023-10-05 05:35:00,OANDA:EURCAD,1.4439,1.44398,1.44362,1.44364,135.0
185,2023-10-05 05:30:00,OANDA:EURCAD,1.44356,1.44392,1.44352,1.4439,131.0
186,2023-10-05 05:25:00,OANDA:EURCAD,1.44399,1.44405,1.44351,1.44356,311.0
187,2023-10-05 05:20:00,OANDA:EURCAD,1.44412,1.4442,1.44398,1.44399,147.0
188,2023-10-05 05:15:00,OANDA:EURCAD,1.4442,1.44427,1.44408,1.44412,357.0
189,2023-10-05 05:10:00,OANDA:EURCAD,1.44425,1.44428,1.44407,1.4442,450.0
190,2023-10-05 05:05:00,OANDA:EURCAD,1.44414,1.44429,1.44408,1.44425,424.0
191,2023-10-05 05:00:00,OANDA:EURCAD,1.44448,1.44452,1.44412,1.44414,318.0
192,2023-10-05 04:55:00,OANDA:EURCAD,1.44415,1.444505,1.44408,1.44448,380.0
193,2023-10-05 04:50:00,OANDA:EURCAD,1.44432,1.44436,1.44412,1.44415,180.0
194,2023-10-05 04:45:00,OANDA:EURCAD,1.44469,1.44477,1.444315,1.44432,183.0
195,2023-10-05 04:40:00,OANDA:EURCAD,1.4444,1.44469,1.44422,1.44469,297.0
196,2023-10-05 04:35:00,OANDA:EURCAD,1.44462,1.44466,1.44432,1.4444,242.0
197,2023-10-05 04:30:00,OANDA:EURCAD,1.44474,1.44482,1.44446,1.44462,406.0
198,2023-10-05 04:25:00,OANDA:EURCAD,1.44468,1.44487,1.44463,1.44474,344.0
199,2023-10-05 04:20:00,OANDA:EURCAD,1.44467,1.44482,1.44457,1.44468,358.0
200,2023-10-05 04:15:00,OANDA:EURCAD,1.44528,1.44528,1.44467,1.44467,431.0
201,2023-10-05 04:10:00,OANDA:EURCAD,1.4454,1.44568,1.44522,1.44528,618.0
202,2023-10-05 04:05:00,OANDA:EURCAD,1.44556,1.44561,1.44534,1.4454,315.0
203,2023-10-05 04:00:00,OANDA:EURCAD,1.4454,1.44568,1.44534,1.44556,427.0
204,2023-10-05 03:55:00,OANDA:EURCAD,1.44554,1.445745,1.445395,1.4454,377.0
205,2023-10-05 03:50:00,OANDA:EURCAD,1.44536,1.44574,1.44529,1.44554,353.0
206,2023-10-05 03:45:00,OANDA:EURCAD,1.44522,1.44538,1.4451,1.44536,353.0
207,2023-10-05 03:40:00,OANDA:EURCAD,1.44508,1.44523,1.44502,1.44522,267.0
208,2023-10-05 03:35:00,OANDA:EURCAD,1.44496,1.44513,1.4448,1.44508,455.0
209,2023-10-05 03:30:00,OANDA:EURCAD,1.4447,1.44501,1.44469,1.44496,247.0
210,2023-10-05 03:25:00,OANDA:EURCAD,1.44444,1.4447,1.44442,1.4447,107.0
211,2023-10-05 03:20:00,OANDA:EURCAD,1.4447,1.4447,1.44442,1.44444,130.0
212,2023-10-05 03:15:00,OANDA:EURCAD,1.44482,1.44482,1.44462,1.4447,153.0
213,2023-10-05 03:10:00,OANDA:EURCAD,1.44458,1.44482,1.44451,1.44482,186.0
214,2023-10-05 03:05:00,OANDA:EURCAD,1.44438,1.44474,1.44433,1.44458,138.0
215,2023-10-05 03:00:00,OANDA:EURCAD,1.44408,1.44446,1.44404,1.44438,203.0
216,2023-10-05 02:55:00,OANDA:EURCAD,1.4441,1.4441,1.44402,1.44408,71.0
217,2023-10-05 02:50:00,OANDA:EURCAD,1.44414,1.444165,1.44404,1.4441,67.0
218,2023-10-05 02:45:00,OANDA:EURCAD,1.44421,1.44422,1.444055,1.44414,71.0
219,2023-10-05 02:40:00,OANDA:EURCAD,1.44412,1.44421,1.44402,1.44421,30.0
220,2023-10-05 02:35:00,OANDA:EURCAD,1.44406,1.44414,1.44399,1.44412,52.0
221,2023-10-05 02:30:00,OANDA:EURCAD,1.44404,1.44413,1.44397,1.44406,70.0
222,2023-10-05 02:25:00,OANDA:EURCAD,1.44396,1.44405,1.44392,1.44404,57.0
223,2023-10-05 02:20:00,OANDA:EURCAD,1.44392,1.444,1.44391,1.44396,83.0
224,2023-10-05 02:15:00,OANDA:EURCAD,1.44393,1.44401,1.44388,1.44392,77.0
225,2023-10-05 02:10:00,OANDA:EURCAD,1.44406,1.4441,1.44388,1.44393,113.0
226,2023-10-05 02:05:00,OANDA:EURCAD,1.44428,1.44433,1.44404,1.44406,83.0
227,2023-10-05 02:00:00,OANDA:EURCAD,1.44436,1.44443,1.44418,1.44428,157.0
228,2023-10-05 01:55:00,OANDA:EURCAD,1.44388,1.444365,1.44387,1.44436,94.0
229,2023-10-05 01:50:00,OANDA:EURCAD,1.44374,1.443945,1.443735,1.44388,62.0
230,2023-10-05 01:45:00,OANDA:EURCAD,1.44371,1.44379,1.44368,1.44374,44.0
231,2023-10-05 01:40:00,OANDA:EURCAD,1.44386,1.44392,1.4437,1.44371,95.0
232,2023-10-05 01:35:00,OANDA:EURCAD,1.44386,1.44394,1.4438,1.44386,46.0
233,2023-10-05 01:30:00,OANDA:EURCAD,1.444,1.44402,1.44375,1.44386,70.0
234,2023-10-05 01:25:00,OANDA:EURCAD,1.44408,1.44414,1.44394,1.444,85.0
235,2023-10-05 01:20:00,OANDA:EURCAD,1.44406,1.44408,1.44392,1.44408,59.0
236,2023-10-05 01:15:00,OANDA:EURCAD,1.44408,1.44412,1.44406,1.44406,39.0
237,2023-10-05 01:10:00,OANDA:EURCAD,1.44398,1.44412,1.44396,1.44408,70.0
238,2023-10-05 01:05:00,OANDA:EURCAD,1.44374,1.44406,1.44374,1.44398,75.0
239,2023-10-05 01:00:00,OANDA:EURCAD,1.44374,1.44405,1.44374,1.44374,162.0
240,2023-10-05 00:55:00,OANDA:EURCAD,1.44354,1.443825,1.44348,1.44374,66.0
241,2023-10-05 00:50:00,OANDA:EURCAD,1.44356,1.44361,1.44334,1.44354,75.0
242,2023-10-05 00:45:00,OANDA:EURCAD,1.44357,1.44361,1.44351,1.44356,33.0
243,2023-10-05 00:40:00,OANDA:EURCAD,1.4437,1.4437,1.44352,1.44357,63.0
244,2023-10-05 00:35:00,OANDA:EURCAD,1.44366,1.4438,1.44361,1.4437,96.0
245,2023-10-05 00:30:00,OANDA:EURCAD,1.44354,1.44376,1.44354,1.44366,134.0
246,2023-10-05 00:25:00,OANDA:EURCAD,1.4435,1.4437,1.4433,1.44354,64.0
247,2023-10-05 00:20:00,OANDA:EURCAD,1.44346,1.44364,1.44324,1.4435,45.0
248,2023-10-05 00:15:00,OANDA:EURCAD,1.44348,1.4435,1.44326,1.44346,112.0
249,2023-10-05 00:10:00,OANDA:EURCAD,1.44398,1.444,1.4434,1.44348,69.0
250,2023-10-05 00:05:00,OANDA:EURCAD,1.44416,1.44421,1.44376,1.44398,141.0
251,2023-10-05 00:00:00,OANDA:EURCAD,1.44394,1.44416,1.44366,1.44416,19.0
252,2023-10-04 23:55:00,OANDA:EURCAD,1.44378,1.4441,1.44351,1.44394,417.0
253,2023-10-04 23:50:00,OANDA:EURCAD,1.44378,1.44402,1.44373,1.44378,406.0
254,2023-10-04 23:45:00,OANDA:EURCAD,1.44387,1.44401,1.44374,1.44378,172.0
255,2023-10-04 23:40:00,OANDA:EURCAD,1.44402,1.44404,1.443795,1.44387,211.0
256,2023-10-04 23:35:00,OANDA:EURCAD,1.44396,1.44412,1.44384,1.44402,233.0
257,2023-10-04 23:30:00,OANDA:EURCAD,1.4447,1.44472,1.44378,1.44396,337.0
258,2023-10-04 23:25:00,OANDA:EURCAD,1.44494,1.44495,1.4446,1.4447,131.0
259,2023-10-04 23:20:00,OANDA:EURCAD,1.4451,1.44512,1.44492,1.44494,138.0
260,2023-10-04 23:15:00,OANDA:EURCAD,1.44478,1.4451,1.44478,1.4451,86.0
261,2023-10-04 23:10:00,OANDA:EURCAD,1.44522,1.44522,1.44474,1.44478,164.0
262,2023-10-04 23:05:00,OANDA:EURCAD,1.44508,1.44528,1.44504,1.44522,135.0
263,2023-10-04 23:00:00,OANDA:EURCAD,1.44502,1.44521,1.44497,1.44508,211.0
264,2023-10-04 22:55:00,OANDA:EURCAD,1.44496,1.44514,1.44486,1.44502,385.0
265,2023-10-04 22:50:00,OANDA:EURCAD,1.44494,1.44516,1.44481,1.44496,635.0
266,2023-10-04 22:45:00,OANDA:EURCAD,1.44487,1.44521,1.4448,1.44494,486.0
267,2023-10-04 22:40:00,OANDA:EURCAD,1.44452,1.44492,1.44452,1.44487,273.0
268,2023-10-04 22:35:00,OANDA:EURCAD,1.4442,1.44458,1.44416,1.44452,331.0
269,2023-10-04 22:30:00,OANDA:EURCAD,1.44424,1.44436,1.44401,1.4442,241.0
270,2023-10-04 22:25:00,OANDA:EURCAD,1.44442,1.44447,1.44418,1.44424,191.0
271,2023-10-04 22:20:00,OANDA:EURCAD,1.44432,1.44451,1.44417,1.44442,232.0
272,2023-10-04 22:15:00,OANDA:EURCAD,1.44442,1.44457,1.44428,1.44432,334.0
273,2023-10-04 22:10:00,OANDA:EURCAD,1.44428,1.44445,1.44416,1.44442,197.0
274,2023-10-04 22:05:00,OANDA:EURCAD,1.44378,1.4443,1.44358,1.44428,354.0
