,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
4492,4492,2023-08-23 16:45:00,OANDA:AUDCAD,0.8736,0.87615,0.87354,0.87592,2804.0,Interval.in_15_minute,51813900.0,long,short
4493,4493,2023-08-23 16:30:00,OANDA:AUDCAD,0.8736,0.8745,0.87343,0.8736,2029.0,Interval.in_15_minute,51813000.0,long,short
4494,4494,2023-08-23 16:15:00,OANDA:AUDCAD,0.873,0.87372,0.8728,0.8736,1408.0,Interval.in_15_minute,51812100.0,long,short
4495,4495,2023-08-23 16:00:00,OANDA:AUDCAD,0.87186,0.87316,0.87176,0.873,1580.0,Interval.in_15_minute,51811200.0,long,short
4496,4496,2023-08-23 15:45:00,OANDA:AUDCAD,0.87214,0.87231,0.87157,0.87186,976.0,Interval.in_15_minute,51810300.0,long,short
4497,4497,2023-08-23 15:30:00,OANDA:AUDCAD,0.87136,0.87218,0.87132,0.87214,1216.0,Interval.in_15_minute,51809400.0,long,short
4498,4498,2023-08-23 15:15:00,OANDA:AUDCAD,0.87134,0.87142,0.8709,0.87136,1043.0,Interval.in_15_minute,51808500.0,long,short
4499,4499,2023-08-23 15:00:00,OANDA:AUDCAD,0.87106,0.87139,0.87084,0.87134,804.0,Interval.in_15_minute,51807600.0,long,short
4500,4500,2023-08-23 14:45:00,OANDA:AUDCAD,0.87122,0.87136,0.871,0.87106,588.0,Interval.in_15_minute,51806700.0,,None
4501,4501,2023-08-23 14:30:00,OANDA:AUDCAD,0.871,0.87135,0.871,0.87122,825.0,Interval.in_15_minute,51805800.0,,None
4502,4502,2023-08-23 14:15:00,OANDA:AUDCAD,0.87098,0.87116,0.87089,0.871,988.0,Interval.in_15_minute,51804900.0,,None
4503,4503,2023-08-23 14:00:00,OANDA:AUDCAD,0.87101,0.8712,0.87075,0.87098,1008.0,Interval.in_15_minute,51804000.0,,None
4504,4504,2023-08-23 13:45:00,OANDA:AUDCAD,0.8707,0.8712,0.87062,0.87101,942.0,Interval.in_15_minute,51803100.0,,None
4505,4505,2023-08-23 13:30:00,OANDA:AUDCAD,0.87084,0.87095,0.8706,0.8707,920.0,Interval.in_15_minute,51802200.0,,None
4506,4506,2023-08-23 13:15:00,OANDA:AUDCAD,0.87125,0.87152,0.8708,0.87084,624.0,Interval.in_15_minute,51801300.0,,None
4507,4507,2023-08-23 13:00:00,OANDA:AUDCAD,0.87122,0.87162,0.87112,0.87125,606.0,Interval.in_15_minute,51800400.0,,None
4508,4508,2023-08-23 12:45:00,OANDA:AUDCAD,0.87158,0.8716,0.87117,0.87122,792.0,Interval.in_15_minute,51799500.0,,None
4509,4509,2023-08-23 12:30:00,OANDA:AUDCAD,0.87182,0.87198,0.87156,0.87158,929.0,Interval.in_15_minute,51798600.0,,None
4510,4510,2023-08-23 12:15:00,OANDA:AUDCAD,0.8713,0.87183,0.87126,0.87182,768.0,Interval.in_15_minute,51797700.0,,None
4511,4511,2023-08-23 12:00:00,OANDA:AUDCAD,0.8713,0.87172,0.87122,0.8713,763.0,Interval.in_15_minute,51796800.0,,None
4512,4512,2023-08-23 11:45:00,OANDA:AUDCAD,0.87132,0.87142,0.8711,0.8713,778.0,Interval.in_15_minute,51795900.0,,None
4513,4513,2023-08-23 11:30:00,OANDA:AUDCAD,0.87111,0.87136,0.8706,0.87132,1139.0,Interval.in_15_minute,51795000.0,,None
4514,4514,2023-08-23 11:15:00,OANDA:AUDCAD,0.87178,0.87178,0.87104,0.87111,739.0,Interval.in_15_minute,51794100.0,,None
4515,4515,2023-08-23 11:00:00,OANDA:AUDCAD,0.87137,0.87188,0.87128,0.87178,1142.0,Interval.in_15_minute,51793200.0,,None
4516,4516,2023-08-23 10:45:00,OANDA:AUDCAD,0.87039,0.87142,0.87034,0.87137,1106.0,Interval.in_15_minute,51792300.0,,None
4517,4517,2023-08-23 10:30:00,OANDA:AUDCAD,0.87126,0.87126,0.86981,0.87039,1758.0,Interval.in_15_minute,51791400.0,,None
4518,4518,2023-08-23 10:15:00,OANDA:AUDCAD,0.87107,0.87137,0.87084,0.87126,760.0,Interval.in_15_minute,51790500.0,,None
4519,4519,2023-08-23 10:00:00,OANDA:AUDCAD,0.8711,0.87122,0.87087,0.87107,817.0,Interval.in_15_minute,51789600.0,,None
4520,4520,2023-08-23 09:45:00,OANDA:AUDCAD,0.87154,0.87164,0.87105,0.8711,939.0,Interval.in_15_minute,51788700.0,,None
4521,4521,2023-08-23 09:30:00,OANDA:AUDCAD,0.87194,0.87198,0.8711,0.87154,561.0,Interval.in_15_minute,51787800.0,,None
4522,4522,2023-08-23 09:15:00,OANDA:AUDCAD,0.87198,0.87232,0.87186,0.87194,655.0,Interval.in_15_minute,51786900.0,,None
4523,4523,2023-08-23 09:00:00,OANDA:AUDCAD,0.87202,0.87213,0.87163,0.87198,601.0,Interval.in_15_minute,51786000.0,,None
4524,4524,2023-08-23 08:45:00,OANDA:AUDCAD,0.87213,0.87225,0.87182,0.87202,543.0,Interval.in_15_minute,51785100.0,,None
4525,4525,2023-08-23 08:30:00,OANDA:AUDCAD,0.87172,0.87224,0.87148,0.87213,727.0,Interval.in_15_minute,51784200.0,,None
4526,4526,2023-08-23 08:15:00,OANDA:AUDCAD,0.87172,0.87182,0.87147,0.87172,597.0,Interval.in_15_minute,51783300.0,,None
4527,4527,2023-08-23 08:00:00,OANDA:AUDCAD,0.87145,0.87174,0.87132,0.87172,428.0,Interval.in_15_minute,51782400.0,,None
