,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
3549,2023-10-11 02:20:00,OANDA:AUDCHF,0.58179,0.582,0.58176,0.58196,86.0,Interval.in_5_minute,55995600.0,short,long,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short
3550,2023-10-11 02:15:00,OANDA:AUDCHF,0.5818,0.58182,0.5817,0.58179,78.0,Interval.in_5_minute,55995300.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,long,long
3551,2023-10-11 02:10:00,OANDA:AUDCHF,0.58188,0.58188,0.58174,0.5818,51.0,Interval.in_5_minute,55995000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,long
3552,2023-10-11 02:05:00,OANDA:AUDCHF,0.58186,0.58188,0.58177,0.58188,75.0,Interval.in_5_minute,55994700.0,short,short,long,long,long,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short
3553,2023-10-11 02:00:00,OANDA:AUDCHF,0.58164,0.58188,0.58161,0.58186,72.0,Interval.in_5_minute,55994400.0,long,short,short,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,short
3554,2023-10-11 01:55:00,OANDA:AUDCHF,0.58166,0.58174,0.58161,0.58164,47.0,Interval.in_5_minute,55994100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long
3555,2023-10-11 01:50:00,OANDA:AUDCHF,0.58188,0.5819,0.58164,0.58166,28.0,Interval.in_5_minute,55993800.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
3556,2023-10-11 01:45:00,OANDA:AUDCHF,0.58172,0.58191,0.58167,0.58188,28.0,Interval.in_5_minute,55993500.0,short,short,short,long,short,short,long,long,long,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
3557,2023-10-11 01:40:00,OANDA:AUDCHF,0.58171,0.58177,0.5817,0.58172,16.0,Interval.in_5_minute,55993200.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3558,2023-10-11 01:35:00,OANDA:AUDCHF,0.5817,0.58179,0.58166,0.58171,38.0,Interval.in_5_minute,55992900.0,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3559,2023-10-11 01:30:00,OANDA:AUDCHF,0.58174,0.58179,0.58168,0.5817,41.0,Interval.in_5_minute,55992600.0,long,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3560,2023-10-11 01:25:00,OANDA:AUDCHF,0.58166,0.58176,0.58165,0.58174,78.0,Interval.in_5_minute,55992300.0,short,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3561,2023-10-11 01:20:00,OANDA:AUDCHF,0.5818,0.58181,0.58166,0.58166,30.0,Interval.in_5_minute,55992000.0,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3562,2023-10-11 01:15:00,OANDA:AUDCHF,0.58184,0.58184,0.58174,0.5818,40.0,Interval.in_5_minute,55991700.0,short,short,short,short,short,long,short,short,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3563,2023-10-11 01:10:00,OANDA:AUDCHF,0.58192,0.58194,0.58183,0.58184,51.0,Interval.in_5_minute,55991400.0,short,short,short,short,short,short,long,short,short,long,long,short,short,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long
3564,2023-10-11 01:05:00,OANDA:AUDCHF,0.58182,0.58199,0.58182,0.58192,47.0,Interval.in_5_minute,55991100.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,long,short,short,short,long,long,long,long,long,long,long,long
3565,2023-10-11 01:00:00,OANDA:AUDCHF,0.58166,0.58192,0.58165,0.58182,89.0,Interval.in_5_minute,55990800.0,long,long,short,short,short,short,short,short,long,short,short,long,long,short,short,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long
3566,2023-10-11 00:55:00,OANDA:AUDCHF,0.58184,0.58198,0.58166,0.58166,27.0,Interval.in_5_minute,55990500.0,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3567,2023-10-11 00:50:00,OANDA:AUDCHF,0.58184,0.58187,0.5818,0.58184,29.0,Interval.in_5_minute,55990200.0,short,short,long,long,short,short,short,short,short,short,long,short,short,long,long,short,short,long,long,long,long,long,short,long,long,long,long,long,long,long
3568,2023-10-11 00:45:00,OANDA:AUDCHF,0.58174,0.58186,0.5817,0.58184,22.0,Interval.in_5_minute,55989900.0,long,short,short,long,long,short,short,short,short,short,short,long,short,short,long,long,short,short,long,long,long,long,long,short,long,long,long,long,long,long
3569,2023-10-11 00:40:00,OANDA:AUDCHF,0.5818,0.58192,0.58174,0.58174,55.0,Interval.in_5_minute,55989600.0,long,long,short,long,long,long,long,short,long,short,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3570,2023-10-11 00:35:00,OANDA:AUDCHF,0.58188,0.58188,0.58174,0.5818,24.0,Interval.in_5_minute,55989300.0,short,long,long,short,long,long,long,long,short,short,short,short,short,long,short,short,long,long,long,short,long,long,long,long,long,long,long,long,long,long
3571,2023-10-11 00:30:00,OANDA:AUDCHF,0.58184,0.58188,0.58166,0.58188,139.0,Interval.in_5_minute,55989000.0,short,short,short,short,short,short,long,short,short,short,short,short,short,short,long,short,short,short,long,short,short,long,long,long,short,long,short,short,short,long
3572,2023-10-11 00:25:00,OANDA:AUDCHF,0.58178,0.58208,0.58164,0.58184,73.0,Interval.in_5_minute,55988700.0,long,short,short,long,long,short,short,long,long,short,short,short,short,short,short,long,short,short,long,long,short,short,long,long,long,long,long,short,long,long
3573,2023-10-11 00:20:00,OANDA:AUDCHF,0.58204,0.58204,0.58176,0.58178,54.0,Interval.in_5_minute,55988400.0,long,long,long,short,long,long,short,long,long,long,long,short,short,short,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long
3574,2023-10-11 00:15:00,OANDA:AUDCHF,0.5818,0.58224,0.5818,0.58204,18.0,Interval.in_5_minute,55988100.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3575,2023-10-11 00:10:00,OANDA:AUDCHF,0.58158,0.58201,0.58152,0.5818,28.0,Interval.in_5_minute,55987800.0,long,short,long,long,long,short,long,long,short,long,long,long,long,short,short,short,short,short,long,short,short,long,long,long,short,long,long,long,long,long
3576,2023-10-11 00:05:00,OANDA:AUDCHF,0.58203,0.58214,0.58156,0.58158,38.0,Interval.in_5_minute,55987500.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
3577,2023-10-11 00:00:00,OANDA:AUDCHF,0.5819,0.58204,0.58184,0.58203,5.0,Interval.in_5_minute,55987200.0,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3578,2023-10-10 23:55:00,OANDA:AUDCHF,0.5818,0.58192,0.58174,0.5819,83.0,Interval.in_5_minute,55986900.0,long,short,short,long,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long
3579,2023-10-10 23:50:00,OANDA:AUDCHF,0.58184,0.58189,0.58172,0.5818,119.0,Interval.in_5_minute,55986600.0,long,long,short,long,long,short,long,long,long,short,long,long,short,long,long,long,long,short,short,short,short,short,long,short,short,long,long,long,short,long
3580,2023-10-10 23:45:00,OANDA:AUDCHF,0.58182,0.58185,0.5817,0.58184,118.0,Interval.in_5_minute,55986300.0,short,long,long,short,short,long,short,long,long,short,short,long,long,short,short,long,long,short,short,short,short,short,short,long,short,short,long,long,short,short
3581,2023-10-10 23:40:00,OANDA:AUDCHF,0.58174,0.58184,0.58174,0.58182,81.0,Interval.in_5_minute,55986000.0,long,short,long,long,short,short,long,short,long,long,short,short,long,long,short,long,long,long,short,short,short,short,short,short,long,short,short,long,long,short
3582,2023-10-10 23:35:00,OANDA:AUDCHF,0.58174,0.58176,0.58166,0.58174,67.0,Interval.in_5_minute,55985700.0,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,short,long,long,long,long,short,long,short,short,short,long,short,short,long,long
3583,2023-10-10 23:30:00,OANDA:AUDCHF,0.58184,0.58187,0.58174,0.58174,74.0,Interval.in_5_minute,55985400.0,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,short,long,long,long,long,short,long,short,short,short,long,short,short,long
