,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
2240,2023-10-17 17:25:00,OANDA:EURJPY,158.34,158.404,158.33,158.342,1131.0,Interval.in_5_minute,56568300.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2241,2023-10-17 17:20:00,OANDA:EURJPY,158.322,158.36,158.262,158.34,1078.0,Interval.in_5_minute,56568000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2242,2023-10-17 17:15:00,OANDA:EURJPY,158.244,158.33,158.228,158.322,1159.0,Interval.in_5_minute,56567700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2243,2023-10-17 17:10:00,OANDA:EURJPY,158.136,158.268,158.136,158.244,1061.0,Interval.in_5_minute,56567400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2244,2023-10-17 17:05:00,OANDA:EURJPY,158.088,158.148,158.066,158.136,1173.0,Interval.in_5_minute,56567100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2245,2023-10-17 17:00:00,OANDA:EURJPY,157.997,158.13,157.988,158.088,1044.0,Interval.in_5_minute,56566800.0,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,short,short
2246,2023-10-17 16:55:00,OANDA:EURJPY,157.964,158.05,157.958,157.997,804.0,Interval.in_5_minute,56566500.0,neutral,short,short,short,short,short,short,long,long,long,long,long,long,long,long,short,short,short
2247,2023-10-17 16:50:00,OANDA:EURJPY,157.937,157.996,157.924,157.964,1476.0,Interval.in_5_minute,56566200.0,short,short,short,short,short,short,short,long,short,long,long,long,long,short,short,short,short,short
2248,2023-10-17 16:45:00,OANDA:EURJPY,157.974,157.999,157.93,157.937,1323.0,Interval.in_5_minute,56565900.0,short,short,short,short,short,long,long,short,long,long,long,long,short,short,short,short,short,short
2249,2023-10-17 16:40:00,OANDA:EURJPY,157.987,157.998,157.942,157.974,875.0,Interval.in_5_minute,56565600.0,short,short,short,short,long,long,long,long,long,long,long,long,short,short,short,short,short,short
2250,2023-10-17 16:35:00,OANDA:EURJPY,158.034,158.049,157.95,157.987,1043.0,Interval.in_5_minute,56565300.0,short,short,short,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short
2251,2023-10-17 16:30:00,OANDA:EURJPY,157.997,158.068,157.984,158.034,1321.0,Interval.in_5_minute,56565000.0,short,short,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short
2252,2023-10-17 16:25:00,OANDA:EURJPY,157.994,158.036,157.974,157.997,1034.0,Interval.in_5_minute,56564700.0,short,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
2253,2023-10-17 16:20:00,OANDA:EURJPY,158.046,158.086,157.982,157.994,1113.0,Interval.in_5_minute,56564400.0,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,long,short
2254,2023-10-17 16:15:00,OANDA:EURJPY,158.043,158.102,158.019,158.046,1107.0,Interval.in_5_minute,56564100.0,long,long,long,long,long,long,long,short,neutral,short,long,short,short,short,long,long,long,long
2255,2023-10-17 16:10:00,OANDA:EURJPY,157.994,158.069,157.954,158.043,1197.0,Interval.in_5_minute,56563800.0,long,long,long,long,long,long,short,short,short,short,short,short,short,short,long,short,short,long
2256,2023-10-17 16:05:00,OANDA:EURJPY,157.916,158.024,157.876,157.994,1239.0,Interval.in_5_minute,56563500.0,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2257,2023-10-17 16:00:00,OANDA:EURJPY,157.969,158.064,157.9,157.916,1445.0,Interval.in_5_minute,56563200.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2258,2023-10-17 15:55:00,OANDA:EURJPY,157.97,158.018,157.942,157.969,1408.0,Interval.in_5_minute,56562900.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2259,2023-10-17 15:50:00,OANDA:EURJPY,157.9,157.986,157.895,157.97,1358.0,Interval.in_5_minute,56562600.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2260,2023-10-17 15:45:00,OANDA:EURJPY,157.849,157.904,157.814,157.9,1088.0,Interval.in_5_minute,56562300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2261,2023-10-17 15:40:00,OANDA:EURJPY,157.822,157.871,157.812,157.849,1274.0,Interval.in_5_minute,56562000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2262,2023-10-17 15:35:00,OANDA:EURJPY,157.868,157.891,157.818,157.822,1832.0,Interval.in_5_minute,56561700.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long
2263,2023-10-17 15:30:00,OANDA:EURJPY,158.076,158.076,157.862,157.868,2541.0,Interval.in_5_minute,56561400.0,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long
2264,2023-10-17 15:25:00,OANDA:EURJPY,158.037,158.106,158.027,158.076,730.0,Interval.in_5_minute,56561100.0,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2265,2023-10-17 15:20:00,OANDA:EURJPY,158.052,158.086,158.035,158.037,880.0,Interval.in_5_minute,56560800.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2266,2023-10-17 15:15:00,OANDA:EURJPY,158.05,158.053,158.012,158.052,660.0,Interval.in_5_minute,56560500.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2267,2023-10-17 15:10:00,OANDA:EURJPY,158.026,158.068,158.008,158.05,897.0,Interval.in_5_minute,56560200.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2268,2023-10-17 15:05:00,OANDA:EURJPY,158.07,158.092,158.004,158.026,1013.0,Interval.in_5_minute,56559900.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2269,2023-10-17 15:00:00,OANDA:EURJPY,158.061,158.112,158.057,158.07,804.0,Interval.in_5_minute,56559600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2270,2023-10-17 14:55:00,OANDA:EURJPY,158.044,158.08,158.038,158.061,803.0,Interval.in_5_minute,56559300.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2271,2023-10-17 14:50:00,OANDA:EURJPY,158.0,158.057,158.0,158.044,708.0,Interval.in_5_minute,56559000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2272,2023-10-17 14:45:00,OANDA:EURJPY,157.998,158.008,157.972,158.0,587.0,Interval.in_5_minute,56558700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2273,2023-10-17 14:40:00,OANDA:EURJPY,158.066,158.082,157.996,157.998,657.0,Interval.in_5_minute,56558400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2274,2023-10-17 14:35:00,OANDA:EURJPY,157.981,158.078,157.98,158.066,897.0,Interval.in_5_minute,56558100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2275,2023-10-17 14:30:00,OANDA:EURJPY,157.978,157.993,157.958,157.981,686.0,Interval.in_5_minute,56557800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long
2276,2023-10-17 14:25:00,OANDA:EURJPY,157.98,157.986,157.926,157.978,630.0,Interval.in_5_minute,56557500.0,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long
2277,2023-10-17 14:20:00,OANDA:EURJPY,157.964,157.992,157.949,157.98,627.0,Interval.in_5_minute,56557200.0,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long
2278,2023-10-17 14:15:00,OANDA:EURJPY,157.976,157.995,157.955,157.964,733.0,Interval.in_5_minute,56556900.0,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,long,long,long
2279,2023-10-17 14:10:00,OANDA:EURJPY,157.903,158.042,157.886,157.976,783.0,Interval.in_5_minute,56556600.0,long,long,long,long,long,long,long,long,long,long,short,short,short,short,long,long,long,long
2280,2023-10-17 14:05:00,OANDA:EURJPY,157.847,157.903,157.846,157.903,682.0,Interval.in_5_minute,56556300.0,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
2281,2023-10-17 14:00:00,OANDA:EURJPY,157.828,157.872,157.817,157.847,735.0,Interval.in_5_minute,56556000.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
