,datetime,close_price,ScalpPro,NW,UMA,Volume
4050,2023-02-17 05:00:00,1.19552,long,long,short,neutral
4051,2023-02-17 04:00:00,1.19514,long,long,short,short
4052,2023-02-17 03:00:00,1.19536,long,long,short,short
4053,2023-02-17 02:00:00,1.1963,long,long,short,short
4054,2023-02-17 01:00:00,1.1974,long,long,short,short
4055,2023-02-17 00:00:00,1.19853,long,long,short,short
4056,2023-02-16 23:00:00,1.19875,long,long,short,short
4057,2023-02-16 22:00:00,1.19928,long,long,short,short
4058,2023-02-16 21:00:00,1.20127,long,long,short,neutral
4059,2023-02-16 20:00:00,1.20226,long,long,short,long
4060,2023-02-16 19:00:00,1.20171,long,long,short,long
4061,2023-02-16 18:00:00,1.2017,long,long,short,long
4062,2023-02-16 17:00:00,1.20126,long,long,short,neutral
4063,2023-02-16 16:00:00,1.19818,long,long,short,short
4064,2023-02-16 15:00:00,1.19878,long,long,short,short
4065,2023-02-16 14:00:00,1.2037,long,long,long,short
4066,2023-02-16 13:00:00,1.20544,long,long,long,short
4067,2023-02-16 12:00:00,1.20549,long,long,long,neutral
4068,2023-02-16 11:00:00,1.2055,long,long,long,long
4069,2023-02-16 10:00:00,1.20505,long,long,short,long
4070,2023-02-16 09:00:00,1.20468,long,long,short,neutral
4071,2023-02-16 08:00:00,1.20354,long,long,short,short
4072,2023-02-16 07:00:00,1.2046,long,long,short,short
4073,2023-02-16 06:00:00,1.20479,long,long,short,short
4074,2023-02-16 05:00:00,1.2048,long,long,short,neutral
4075,2023-02-16 04:00:00,1.2052,long,long,short,long
4076,2023-02-16 03:00:00,1.20397,long,long,short,neutral
4077,2023-02-16 02:00:00,1.20186,long,long,short,neutral
4078,2023-02-16 01:00:00,1.20372,long,long,short,neutral
4079,2023-02-16 00:00:00,1.20322,long,long,short,neutral
4080,2023-02-15 23:00:00,1.20341,long,long,short,long
4081,2023-02-15 22:00:00,1.20335,long,long,short,long
4082,2023-02-15 21:00:00,1.20213,long,long,short,long
4083,2023-02-15 20:00:00,1.20154,long,long,short,neutral
4084,2023-02-15 19:00:00,1.20048,long,long,short,neutral
4085,2023-02-15 18:00:00,1.2029,long,long,short,long
4086,2023-02-15 17:00:00,1.20024,long,long,short,neutral
4087,2023-02-15 16:00:00,1.19916,long,long,short,short
4088,2023-02-15 15:00:00,1.2014,long,long,short,short
4089,2023-02-15 14:00:00,1.20436,long,long,short,short
4090,2023-02-15 13:00:00,1.20568,long,long,short,short
4091,2023-02-15 12:00:00,1.20677,long,long,short,short
4092,2023-02-15 11:00:00,1.20965,long,long,short,neutral
4093,2023-02-15 10:00:00,1.21005,long,long,short,neutral
4094,2023-02-15 09:00:00,1.2083,long,long,short,short
4095,2023-02-15 08:00:00,1.21399,long,short,short,short
4096,2023-02-15 07:00:00,1.21496,long,short,short,neutral
4097,2023-02-15 06:00:00,1.21558,long,short,short,neutral
4098,2023-02-15 05:00:00,1.21475,long,short,long,short
4099,2023-02-15 04:00:00,1.21506,long,short,long,short
4100,2023-02-15 03:00:00,1.21664,long,short,long,neutral
4101,2023-02-15 02:00:00,1.21794,long,short,long,neutral
4102,2023-02-15 01:00:00,1.2174,long,short,long,short
4103,2023-02-15 00:00:00,1.21751,long,short,long,short
4104,2023-02-14 23:00:00,1.21752,long,short,long,neutral
4105,2023-02-14 22:00:00,1.21772,long,short,long,long
4106,2023-02-14 21:00:00,1.21747,long,short,long,neutral
4107,2023-02-14 20:00:00,1.21704,long,short,long,neutral
4108,2023-02-14 19:00:00,1.21714,long,short,long,neutral
4109,2023-02-14 18:00:00,1.21556,long,short,long,short
4110,2023-02-14 17:00:00,1.2156,long,short,long,short
4111,2023-02-14 16:00:00,1.21856,long,short,long,short
4112,2023-02-14 15:00:00,1.22105,long,short,long,neutral
4113,2023-02-14 14:00:00,1.2211,long,short,long,long
4114,2023-02-14 13:00:00,1.22018,long,short,long,long
4115,2023-02-14 12:00:00,1.21891,long,short,long,long
4116,2023-02-14 11:00:00,1.21882,long,short,long,long
4117,2023-02-14 10:00:00,1.21754,long,short,long,neutral
4118,2023-02-14 09:00:00,1.21389,long,short,long,short
4119,2023-02-14 08:00:00,1.2146,long,short,long,short
4120,2023-02-14 07:00:00,1.21466,long,short,long,neutral
4121,2023-02-14 06:00:00,1.21492,long,short,long,long
4122,2023-02-14 05:00:00,1.21462,long,short,long,long
4123,2023-02-14 04:00:00,1.21432,long,short,long,neutral
4124,2023-02-14 03:00:00,1.21408,long,short,long,short
4125,2023-02-14 02:00:00,1.2148,long,short,long,neutral
4126,2023-02-14 01:00:00,1.21502,long,short,long,neutral
4127,2023-02-14 00:00:00,1.21364,long,short,long,neutral
4128,2023-02-13 23:00:00,1.21396,long,short,long,long
4129,2023-02-13 22:00:00,1.21377,long,short,long,neutral
4130,2023-02-13 21:00:00,1.21322,long,short,long,neutral
4131,2023-02-13 20:00:00,1.2147,long,short,long,long
4132,2023-02-13 19:00:00,1.21356,long,short,long,neutral
4133,2023-02-13 18:00:00,1.21355,long,short,long,neutral
4134,2023-02-13 17:00:00,1.21366,long,short,long,long
4135,2023-02-13 16:00:00,1.21156,long,short,long,neutral
