,datetime,close_price,ScalpPro,NW,UMA,Volume
1342,2023-10-11 02:35:00,0.64346,long,long,long,neutral
1343,2023-10-11 02:34:00,0.6434,long,long,long,neutral
1344,2023-10-11 02:33:00,0.64346,long,long,long,long
1345,2023-10-11 02:32:00,0.64346,long,long,long,neutral
1346,2023-10-11 02:31:00,0.64344,long,long,long,short
1347,2023-10-11 02:30:00,0.6435,long,long,long,neutral
1348,2023-10-11 02:29:00,0.64352,long,long,long,neutral
1349,2023-10-11 02:28:00,0.64352,long,long,long,neutral
1350,2023-10-11 02:27:00,0.64355,long,long,long,long
1351,2023-10-11 02:26:00,0.64354,long,long,long,neutral
1352,2023-10-11 02:25:00,0.6435,long,long,long,neutral
1353,2023-10-11 02:24:00,0.64355,long,short,long,long
1354,2023-10-11 02:23:00,0.64354,long,short,long,long
1355,2023-10-11 02:22:00,0.64344,long,long,long,neutral
1356,2023-10-11 02:21:00,0.64334,long,long,long,neutral
1357,2023-10-11 02:20:00,0.64335,long,long,long,long
1358,2023-10-11 02:19:00,0.64334,long,long,long,long
1359,2023-10-11 02:18:00,0.6433,long,long,long,neutral
1360,2023-10-11 02:17:00,0.64326,long,long,long,short
1361,2023-10-11 02:16:00,0.64327,long,long,long,short
1362,2023-10-11 02:15:00,0.64332,long,long,long,neutral
1363,2023-10-11 02:14:00,0.64334,long,long,long,neutral
1364,2023-10-11 02:13:00,0.64332,long,long,long,neutral
1365,2023-10-11 02:12:00,0.64337,long,short,long,long
1366,2023-10-11 02:11:00,0.64335,long,short,long,neutral
1367,2023-10-11 02:10:00,0.64332,long,short,long,neutral
1368,2023-10-11 02:09:00,0.64339,long,short,long,long
1369,2023-10-11 02:08:00,0.64334,long,short,long,long
1370,2023-10-11 02:07:00,0.64332,long,short,long,long
1371,2023-10-11 02:06:00,0.64326,long,long,long,long
1372,2023-10-11 02:05:00,0.64323,long,long,long,long
1373,2023-10-11 02:04:00,0.64314,long,long,long,long
1374,2023-10-11 02:03:00,0.64313,long,long,long,long
1375,2023-10-11 02:02:00,0.64308,long,long,short,neutral
1376,2023-10-11 02:01:00,0.64302,long,long,long,neutral
1377,2023-10-11 02:00:00,0.64314,long,long,long,long
1378,2023-10-11 01:59:00,0.64306,long,long,short,long
1379,2023-10-11 01:58:00,0.64302,long,long,short,long
1380,2023-10-11 01:57:00,0.64296,long,long,short,neutral
1381,2023-10-11 01:56:00,0.64294,long,long,short,neutral
1382,2023-10-11 01:55:00,0.64298,long,long,short,neutral
1383,2023-10-11 01:54:00,0.64298,long,long,long,short
1384,2023-10-11 01:52:00,0.64306,long,long,long,neutral
1385,2023-10-11 01:51:00,0.64314,long,long,long,neutral
1386,2023-10-11 01:50:00,0.64314,long,long,long,neutral
1387,2023-10-11 01:49:00,0.64318,long,long,long,long
1388,2023-10-11 01:48:00,0.64318,long,long,long,neutral
1389,2023-10-11 01:47:00,0.64302,long,long,short,neutral
1390,2023-10-11 01:46:00,0.64306,long,long,short,neutral
1391,2023-10-11 01:45:00,0.64302,long,long,long,short
1392,2023-10-11 01:43:00,0.6431,long,long,long,neutral
1393,2023-10-11 01:42:00,0.64312,long,long,neutral,long
1394,2023-10-11 01:40:00,0.6431,long,long,short,long
1395,2023-10-11 01:39:00,0.6431,long,long,short,long
1396,2023-10-11 01:38:00,0.64306,long,long,short,neutral
1397,2023-10-11 01:37:00,0.64304,long,long,short,neutral
1398,2023-10-11 01:36:00,0.64308,long,long,short,long
1399,2023-10-11 01:35:00,0.64307,long,long,short,long
1400,2023-10-11 01:32:00,0.64303,long,long,short,long
1401,2023-10-11 01:31:00,0.64302,long,long,short,long
1402,2023-10-11 01:30:00,0.64302,long,long,short,long
1403,2023-10-11 01:29:00,0.64298,long,long,short,long
1404,2023-10-11 01:28:00,0.64298,long,long,short,neutral
1405,2023-10-11 01:27:00,0.64298,long,long,short,neutral
1406,2023-10-11 01:26:00,0.64301,long,long,short,neutral
1407,2023-10-11 01:24:00,0.64297,long,long,short,short
1408,2023-10-11 01:23:00,0.64302,long,long,short,neutral
1409,2023-10-11 01:22:00,0.64306,long,long,short,long
1410,2023-10-11 01:21:00,0.64305,long,long,short,long
1411,2023-10-11 01:20:00,0.64304,long,long,short,neutral
1412,2023-10-11 01:19:00,0.64304,long,long,short,short
1413,2023-10-11 01:18:00,0.6431,long,long,short,neutral
1414,2023-10-11 01:17:00,0.64312,long,long,short,long
1415,2023-10-11 01:16:00,0.64312,long,long,short,neutral
1416,2023-10-11 01:15:00,0.64312,long,long,neutral,short
