,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2551,2023-10-19 12:12:00,OANDA:EURUSD,1.05412,1.05426,1.054,1.05415,197.0,Interval.in_3_minute,56722320.0
2552,2023-10-19 12:15:00,OANDA:EURUSD,1.05415,1.05422,1.0539,1.05402,250.0,Interval.in_3_minute,56722500.0
2553,2023-10-19 12:18:00,OANDA:EURUSD,1.05402,1.05434,1.05401,1.05426,200.0,Interval.in_3_minute,56722680.0
2554,2023-10-19 12:21:00,OANDA:EURUSD,1.05426,1.0543,1.0539,1.0539,245.0,Interval.in_3_minute,56722860.0
2555,2023-10-19 12:24:00,OANDA:EURUSD,1.0539,1.05408,1.05375,1.05377,194.0,Interval.in_3_minute,56723040.0
2556,2023-10-19 12:27:00,OANDA:EURUSD,1.05377,1.0539,1.05368,1.05382,226.0,Interval.in_3_minute,56723220.0
2557,2023-10-19 12:30:00,OANDA:EURUSD,1.05382,1.05433,1.0538,1.0543,289.0,Interval.in_3_minute,56723400.0
2558,2023-10-19 12:33:00,OANDA:EURUSD,1.0543,1.0545,1.05428,1.05438,229.0,Interval.in_3_minute,56723580.0
2559,2023-10-19 12:36:00,OANDA:EURUSD,1.05438,1.05446,1.05418,1.05421,209.0,Interval.in_3_minute,56723760.0
2560,2023-10-19 12:39:00,OANDA:EURUSD,1.05421,1.05433,1.05401,1.0541,175.0,Interval.in_3_minute,56723940.0
2561,2023-10-19 12:42:00,OANDA:EURUSD,1.0541,1.0541,1.05388,1.05388,115.0,Interval.in_3_minute,56724120.0
2562,2023-10-19 12:45:00,OANDA:EURUSD,1.05388,1.054,1.05382,1.05391,154.0,Interval.in_3_minute,56724300.0
2563,2023-10-19 12:48:00,OANDA:EURUSD,1.05391,1.05411,1.05383,1.05402,161.0,Interval.in_3_minute,56724480.0
2564,2023-10-19 12:51:00,OANDA:EURUSD,1.05402,1.05446,1.05391,1.0543,263.0,Interval.in_3_minute,56724660.0
2565,2023-10-19 12:54:00,OANDA:EURUSD,1.0543,1.05446,1.05426,1.0544,103.0,Interval.in_3_minute,56724840.0
2566,2023-10-19 12:57:00,OANDA:EURUSD,1.0544,1.05455,1.05438,1.05446,251.0,Interval.in_3_minute,56725020.0
2567,2023-10-19 13:00:00,OANDA:EURUSD,1.05446,1.05454,1.05428,1.05434,240.0,Interval.in_3_minute,56725200.0
2568,2023-10-19 13:03:00,OANDA:EURUSD,1.05434,1.0547,1.05434,1.05468,252.0,Interval.in_3_minute,56725380.0
2569,2023-10-19 13:06:00,OANDA:EURUSD,1.05468,1.05489,1.05462,1.05466,195.0,Interval.in_3_minute,56725560.0
2570,2023-10-19 13:09:00,OANDA:EURUSD,1.05466,1.05472,1.05456,1.05463,204.0,Interval.in_3_minute,56725740.0
2571,2023-10-19 13:12:00,OANDA:EURUSD,1.05463,1.05492,1.05462,1.0549,159.0,Interval.in_3_minute,56725920.0
2572,2023-10-19 13:15:00,OANDA:EURUSD,1.0549,1.05492,1.0546,1.05467,138.0,Interval.in_3_minute,56726100.0
2573,2023-10-19 13:18:00,OANDA:EURUSD,1.05467,1.05472,1.05455,1.05462,140.0,Interval.in_3_minute,56726280.0
2574,2023-10-19 13:21:00,OANDA:EURUSD,1.05462,1.05469,1.05444,1.05448,188.0,Interval.in_3_minute,56726460.0
2575,2023-10-19 13:24:00,OANDA:EURUSD,1.05448,1.05465,1.05446,1.05446,183.0,Interval.in_3_minute,56726640.0
2576,2023-10-19 13:27:00,OANDA:EURUSD,1.05446,1.05461,1.05445,1.0546,155.0,Interval.in_3_minute,56726820.0
2577,2023-10-19 13:30:00,OANDA:EURUSD,1.0546,1.05486,1.05454,1.05474,201.0,Interval.in_3_minute,56727000.0
2578,2023-10-19 13:33:00,OANDA:EURUSD,1.05474,1.05485,1.05454,1.0548,178.0,Interval.in_3_minute,56727180.0
2579,2023-10-19 13:36:00,OANDA:EURUSD,1.0548,1.05488,1.05468,1.05485,184.0,Interval.in_3_minute,56727360.0
2580,2023-10-19 13:39:00,OANDA:EURUSD,1.05485,1.05506,1.0548,1.05502,211.0,Interval.in_3_minute,56727540.0
2581,2023-10-19 13:42:00,OANDA:EURUSD,1.05502,1.05512,1.0549,1.05495,135.0,Interval.in_3_minute,56727720.0
2582,2023-10-19 13:45:00,OANDA:EURUSD,1.05495,1.05512,1.05494,1.05496,113.0,Interval.in_3_minute,56727900.0
2583,2023-10-19 13:48:00,OANDA:EURUSD,1.05496,1.05526,1.05492,1.055,155.0,Interval.in_3_minute,56728080.0
2584,2023-10-19 13:51:00,OANDA:EURUSD,1.055,1.0551,1.0549,1.05497,128.0,Interval.in_3_minute,56728260.0
2585,2023-10-19 13:54:00,OANDA:EURUSD,1.05497,1.05512,1.05485,1.05512,122.0,Interval.in_3_minute,56728440.0
2586,2023-10-19 13:57:00,OANDA:EURUSD,1.05512,1.05523,1.05511,1.05513,119.0,Interval.in_3_minute,56728620.0
2587,2023-10-19 14:00:00,OANDA:EURUSD,1.05513,1.05558,1.05513,1.05556,246.0,Interval.in_3_minute,56728800.0
2588,2023-10-19 14:03:00,OANDA:EURUSD,1.05556,1.05557,1.05526,1.05552,174.0,Interval.in_3_minute,56728980.0
2589,2023-10-19 14:06:00,OANDA:EURUSD,1.05552,1.05554,1.05518,1.05536,182.0,Interval.in_3_minute,56729160.0
2590,2023-10-19 14:09:00,OANDA:EURUSD,1.05536,1.05566,1.0553,1.0556,198.0,Interval.in_3_minute,56729340.0
2591,2023-10-19 14:12:00,OANDA:EURUSD,1.0556,1.0559,1.0556,1.0559,145.0,Interval.in_3_minute,56729520.0
2592,2023-10-19 14:15:00,OANDA:EURUSD,1.0559,1.05596,1.05557,1.05559,173.0,Interval.in_3_minute,56729700.0
2593,2023-10-19 14:18:00,OANDA:EURUSD,1.05559,1.05566,1.05544,1.0555,215.0,Interval.in_3_minute,56729880.0
2594,2023-10-19 14:21:00,OANDA:EURUSD,1.0555,1.05566,1.05536,1.05564,208.0,Interval.in_3_minute,56730060.0
2595,2023-10-19 14:24:00,OANDA:EURUSD,1.05564,1.05583,1.05536,1.05539,208.0,Interval.in_3_minute,56730240.0
2596,2023-10-19 14:27:00,OANDA:EURUSD,1.05539,1.05552,1.05536,1.05547,136.0,Interval.in_3_minute,56730420.0
2597,2023-10-19 14:30:00,OANDA:EURUSD,1.05547,1.0556,1.05542,1.05558,139.0,Interval.in_3_minute,56730600.0
2598,2023-10-19 14:33:00,OANDA:EURUSD,1.05558,1.0559,1.05558,1.0559,153.0,Interval.in_3_minute,56730780.0
2599,2023-10-19 14:36:00,OANDA:EURUSD,1.0559,1.05639,1.0559,1.056,272.0,Interval.in_3_minute,56730960.0
2600,2023-10-19 14:39:00,OANDA:EURUSD,1.056,1.0561,1.05591,1.05607,166.0,Interval.in_3_minute,56731140.0
2601,2023-10-19 14:42:00,OANDA:EURUSD,1.05607,1.0562,1.0559,1.0559,207.0,Interval.in_3_minute,56731320.0
2602,2023-10-19 14:45:00,OANDA:EURUSD,1.0559,1.05612,1.05584,1.05604,116.0,Interval.in_3_minute,56731500.0
2603,2023-10-19 14:48:00,OANDA:EURUSD,1.05604,1.0563,1.05601,1.0561,202.0,Interval.in_3_minute,56731680.0
2604,2023-10-19 14:51:00,OANDA:EURUSD,1.0561,1.0561,1.05571,1.05584,216.0,Interval.in_3_minute,56731860.0
2605,2023-10-19 14:54:00,OANDA:EURUSD,1.05584,1.05596,1.05562,1.0558,164.0,Interval.in_3_minute,56732040.0
2606,2023-10-19 14:57:00,OANDA:EURUSD,1.0558,1.0558,1.05568,1.05579,170.0,Interval.in_3_minute,56732220.0
2607,2023-10-19 15:00:00,OANDA:EURUSD,1.05579,1.0559,1.05572,1.05582,304.0,Interval.in_3_minute,56732400.0
2608,2023-10-19 15:03:00,OANDA:EURUSD,1.05582,1.05592,1.05567,1.05592,260.0,Interval.in_3_minute,56732580.0
2609,2023-10-19 15:06:00,OANDA:EURUSD,1.05592,1.05619,1.0556,1.05564,260.0,Interval.in_3_minute,56732760.0
2610,2023-10-19 15:09:00,OANDA:EURUSD,1.05564,1.056,1.05562,1.0559,217.0,Interval.in_3_minute,56732940.0
2611,2023-10-19 15:12:00,OANDA:EURUSD,1.0559,1.05625,1.05587,1.05625,201.0,Interval.in_3_minute,56733120.0
2612,2023-10-19 15:15:00,OANDA:EURUSD,1.05625,1.05638,1.05618,1.05636,240.0,Interval.in_3_minute,56733300.0
2613,2023-10-19 15:18:00,OANDA:EURUSD,1.05636,1.05688,1.05636,1.0568,380.0,Interval.in_3_minute,56733480.0
2614,2023-10-19 15:21:00,OANDA:EURUSD,1.0568,1.0569,1.05661,1.05668,247.0,Interval.in_3_minute,56733660.0
2615,2023-10-19 15:24:00,OANDA:EURUSD,1.05668,1.05684,1.05654,1.05676,205.0,Interval.in_3_minute,56733840.0
2616,2023-10-19 15:27:00,OANDA:EURUSD,1.05676,1.05682,1.05649,1.05662,200.0,Interval.in_3_minute,56734020.0
2617,2023-10-19 15:30:00,OANDA:EURUSD,1.05662,1.0572,1.05598,1.05684,639.0,Interval.in_3_minute,56734200.0
2618,2023-10-19 15:33:00,OANDA:EURUSD,1.05684,1.05704,1.05644,1.05651,513.0,Interval.in_3_minute,56734380.0
2619,2023-10-19 15:36:00,OANDA:EURUSD,1.05651,1.05739,1.05647,1.05708,582.0,Interval.in_3_minute,56734560.0
2620,2023-10-19 15:39:00,OANDA:EURUSD,1.05708,1.0573,1.05654,1.05661,469.0,Interval.in_3_minute,56734740.0
2621,2023-10-19 15:42:00,OANDA:EURUSD,1.05661,1.0573,1.05654,1.05723,447.0,Interval.in_3_minute,56734920.0
2622,2023-10-19 15:45:00,OANDA:EURUSD,1.05723,1.05747,1.05697,1.05734,545.0,Interval.in_3_minute,56735100.0
