,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
2522,2522,2023-10-24 21:34:00,OANDA:AUDCAD,0.87292,0.87293,0.87288,0.87288,6.0,Interval.in_1_minute,57188040.0
2523,2523,2023-10-24 21:35:00,OANDA:AUDCAD,0.87288,0.8729,0.87268,0.87272,25.0,Interval.in_1_minute,57188100.0
2524,2524,2023-10-24 21:36:00,OANDA:AUDCAD,0.87272,0.87276,0.87268,0.87268,29.0,Interval.in_1_minute,57188160.0
2525,2525,2023-10-24 21:37:00,OANDA:AUDCAD,0.87268,0.87279,0.87268,0.87277,14.0,Interval.in_1_minute,57188220.0
2526,2526,2023-10-24 21:38:00,OANDA:AUDCAD,0.87277,0.87281,0.87274,0.87275,65.0,Interval.in_1_minute,57188280.0
2527,2527,2023-10-24 21:39:00,OANDA:AUDCAD,0.87275,0.8728,0.8727,0.87274,68.0,Interval.in_1_minute,57188340.0
2528,2528,2023-10-24 21:40:00,OANDA:AUDCAD,0.87274,0.87278,0.87268,0.8727,64.0,Interval.in_1_minute,57188400.0
2529,2529,2023-10-24 21:41:00,OANDA:AUDCAD,0.8727,0.8728,0.87266,0.87272,56.0,Interval.in_1_minute,57188460.0
2530,2530,2023-10-24 21:42:00,OANDA:AUDCAD,0.87272,0.87278,0.87268,0.8727,63.0,Interval.in_1_minute,57188520.0
2531,2531,2023-10-24 21:43:00,OANDA:AUDCAD,0.8727,0.8727,0.87259,0.87261,58.0,Interval.in_1_minute,57188580.0
2532,2532,2023-10-24 21:44:00,OANDA:AUDCAD,0.87261,0.87271,0.8726,0.8727,49.0,Interval.in_1_minute,57188640.0
2533,2533,2023-10-24 21:45:00,OANDA:AUDCAD,0.8727,0.872805,0.8727,0.87278,56.0,Interval.in_1_minute,57188700.0
2534,2534,2023-10-24 21:46:00,OANDA:AUDCAD,0.87278,0.87286,0.87278,0.87285,35.0,Interval.in_1_minute,57188760.0
2535,2535,2023-10-24 21:47:00,OANDA:AUDCAD,0.87285,0.87288,0.87283,0.87284,35.0,Interval.in_1_minute,57188820.0
2536,2536,2023-10-24 21:48:00,OANDA:AUDCAD,0.87284,0.87289,0.87284,0.87284,7.0,Interval.in_1_minute,57188880.0
2537,2537,2023-10-24 21:49:00,OANDA:AUDCAD,0.87284,0.8729,0.872835,0.87284,21.0,Interval.in_1_minute,57188940.0
2538,2538,2023-10-24 21:50:00,OANDA:AUDCAD,0.87284,0.87284,0.87276,0.87282,29.0,Interval.in_1_minute,57189000.0
2539,2539,2023-10-24 21:51:00,OANDA:AUDCAD,0.87282,0.87282,0.87266,0.87268,25.0,Interval.in_1_minute,57189060.0
2540,2540,2023-10-24 21:52:00,OANDA:AUDCAD,0.87268,0.87275,0.87264,0.87272,40.0,Interval.in_1_minute,57189120.0
2541,2541,2023-10-24 21:53:00,OANDA:AUDCAD,0.87272,0.87275,0.87266,0.87272,36.0,Interval.in_1_minute,57189180.0
2542,2542,2023-10-24 21:54:00,OANDA:AUDCAD,0.87272,0.87274,0.87266,0.87268,42.0,Interval.in_1_minute,57189240.0
2543,2543,2023-10-24 21:55:00,OANDA:AUDCAD,0.87268,0.87274,0.87266,0.87268,51.0,Interval.in_1_minute,57189300.0
2544,2544,2023-10-24 21:56:00,OANDA:AUDCAD,0.87268,0.872745,0.87266,0.87268,42.0,Interval.in_1_minute,57189360.0
2545,2545,2023-10-24 21:57:00,OANDA:AUDCAD,0.87268,0.872765,0.87265,0.87273,64.0,Interval.in_1_minute,57189420.0
2546,2546,2023-10-24 21:58:00,OANDA:AUDCAD,0.87273,0.8729,0.87272,0.8729,33.0,Interval.in_1_minute,57189480.0
2547,2547,2023-10-24 21:59:00,OANDA:AUDCAD,0.8729,0.87295,0.87286,0.87286,43.0,Interval.in_1_minute,57189540.0
2548,2548,2023-10-24 22:00:00,OANDA:AUDCAD,0.87286,0.87295,0.87282,0.8729,38.0,Interval.in_1_minute,57189600.0
2549,2549,2023-10-24 22:01:00,OANDA:AUDCAD,0.8729,0.87308,0.87286,0.87306,43.0,Interval.in_1_minute,57189660.0
2550,2550,2023-10-24 22:02:00,OANDA:AUDCAD,0.87306,0.87308,0.873,0.87308,20.0,Interval.in_1_minute,57189720.0
2551,2551,2023-10-24 22:03:00,OANDA:AUDCAD,0.87308,0.87308,0.87298,0.87298,11.0,Interval.in_1_minute,57189780.0
2552,2552,2023-10-24 22:04:00,OANDA:AUDCAD,0.87298,0.87308,0.87298,0.87304,28.0,Interval.in_1_minute,57189840.0
2553,2553,2023-10-24 22:05:00,OANDA:AUDCAD,0.87304,0.87306,0.87298,0.87302,21.0,Interval.in_1_minute,57189900.0
2554,2554,2023-10-24 22:06:00,OANDA:AUDCAD,0.87302,0.87306,0.87294,0.87296,15.0,Interval.in_1_minute,57189960.0
2555,2555,2023-10-24 22:07:00,OANDA:AUDCAD,0.87296,0.87298,0.872915,0.87298,17.0,Interval.in_1_minute,57190020.0
2556,2556,2023-10-24 22:08:00,OANDA:AUDCAD,0.87298,0.87306,0.87298,0.87304,19.0,Interval.in_1_minute,57190080.0
2557,2557,2023-10-24 22:09:00,OANDA:AUDCAD,0.87304,0.87306,0.87303,0.87305,29.0,Interval.in_1_minute,57190140.0
2558,2558,2023-10-24 22:10:00,OANDA:AUDCAD,0.87305,0.87307,0.87296,0.87307,57.0,Interval.in_1_minute,57190200.0
2559,2559,2023-10-24 22:11:00,OANDA:AUDCAD,0.87307,0.87312,0.87304,0.87304,45.0,Interval.in_1_minute,57190260.0
2560,2560,2023-10-24 22:12:00,OANDA:AUDCAD,0.87304,0.87305,0.87296,0.87304,24.0,Interval.in_1_minute,57190320.0
2561,2561,2023-10-24 22:13:00,OANDA:AUDCAD,0.87304,0.8731,0.873035,0.8731,23.0,Interval.in_1_minute,57190380.0
2562,2562,2023-10-24 22:14:00,OANDA:AUDCAD,0.8731,0.87312,0.87304,0.87304,25.0,Interval.in_1_minute,57190440.0
2563,2563,2023-10-24 22:15:00,OANDA:AUDCAD,0.87304,0.87315,0.87304,0.87311,20.0,Interval.in_1_minute,57190500.0
2564,2564,2023-10-24 22:16:00,OANDA:AUDCAD,0.87311,0.87318,0.87311,0.87312,16.0,Interval.in_1_minute,57190560.0
2565,2565,2023-10-24 22:17:00,OANDA:AUDCAD,0.87312,0.87314,0.87308,0.87313,48.0,Interval.in_1_minute,57190620.0
2566,2566,2023-10-24 22:18:00,OANDA:AUDCAD,0.87313,0.873145,0.873095,0.8731,24.0,Interval.in_1_minute,57190680.0
2567,2567,2023-10-24 22:19:00,OANDA:AUDCAD,0.8731,0.87311,0.87305,0.87311,29.0,Interval.in_1_minute,57190740.0
2568,2568,2023-10-24 22:20:00,OANDA:AUDCAD,0.87311,0.873125,0.87306,0.87312,9.0,Interval.in_1_minute,57190800.0
2569,2569,2023-10-24 22:21:00,OANDA:AUDCAD,0.87312,0.87317,0.873115,0.87312,10.0,Interval.in_1_minute,57190860.0
2570,2570,2023-10-24 22:22:00,OANDA:AUDCAD,0.87312,0.87315,0.8731,0.8731,16.0,Interval.in_1_minute,57190920.0
2571,2571,2023-10-24 22:23:00,OANDA:AUDCAD,0.8731,0.8731,0.872995,0.873,17.0,Interval.in_1_minute,57190980.0
2572,2572,2023-10-24 22:24:00,OANDA:AUDCAD,0.873,0.87303,0.872995,0.87301,56.0,Interval.in_1_minute,57191040.0
2573,2573,2023-10-24 22:25:00,OANDA:AUDCAD,0.87301,0.87307,0.87296,0.87305,48.0,Interval.in_1_minute,57191100.0
2574,2574,2023-10-24 22:26:00,OANDA:AUDCAD,0.87305,0.87307,0.87303,0.87304,29.0,Interval.in_1_minute,57191160.0
2575,2575,2023-10-24 22:27:00,OANDA:AUDCAD,0.87304,0.873105,0.87302,0.8731,57.0,Interval.in_1_minute,57191220.0
2576,2576,2023-10-24 22:28:00,OANDA:AUDCAD,0.8731,0.8731,0.87302,0.87306,77.0,Interval.in_1_minute,57191280.0
2577,2577,2023-10-24 22:29:00,OANDA:AUDCAD,0.87306,0.87312,0.87306,0.87308,52.0,Interval.in_1_minute,57191340.0
2578,2578,2023-10-24 22:30:00,OANDA:AUDCAD,0.87308,0.87312,0.87307,0.87311,34.0,Interval.in_1_minute,57191400.0
2579,2579,2023-10-24 22:31:00,OANDA:AUDCAD,0.87311,0.87311,0.87302,0.87302,11.0,Interval.in_1_minute,57191460.0
2580,2580,2023-10-24 22:32:00,OANDA:AUDCAD,0.87302,0.87314,0.87302,0.87314,12.0,Interval.in_1_minute,57191520.0
2581,2581,2023-10-24 22:33:00,OANDA:AUDCAD,0.87314,0.87316,0.873075,0.87312,20.0,Interval.in_1_minute,57191580.0
2582,2582,2023-10-24 22:34:00,OANDA:AUDCAD,0.87312,0.873125,0.87309,0.87309,6.0,Interval.in_1_minute,57191640.0
2583,2583,2023-10-24 22:35:00,OANDA:AUDCAD,0.87309,0.87309,0.872955,0.87302,15.0,Interval.in_1_minute,57191700.0
2584,2584,2023-10-24 22:36:00,OANDA:AUDCAD,0.87302,0.873045,0.87293,0.87304,28.0,Interval.in_1_minute,57191760.0
2585,2585,2023-10-24 22:37:00,OANDA:AUDCAD,0.87304,0.87304,0.87283,0.87285,37.0,Interval.in_1_minute,57191820.0
2586,2586,2023-10-24 22:38:00,OANDA:AUDCAD,0.87285,0.87292,0.872815,0.87286,27.0,Interval.in_1_minute,57191880.0
2587,2587,2023-10-24 22:39:00,OANDA:AUDCAD,0.87286,0.87287,0.872795,0.87282,18.0,Interval.in_1_minute,57191940.0
2588,2588,2023-10-24 22:40:00,OANDA:AUDCAD,0.87282,0.8729,0.87278,0.87289,43.0,Interval.in_1_minute,57192000.0
2589,2589,2023-10-24 22:41:00,OANDA:AUDCAD,0.87289,0.87298,0.87287,0.87298,27.0,Interval.in_1_minute,57192060.0
2590,2590,2023-10-24 22:42:00,OANDA:AUDCAD,0.87298,0.87298,0.87288,0.87291,18.0,Interval.in_1_minute,57192120.0
2591,2591,2023-10-24 22:43:00,OANDA:AUDCAD,0.87291,0.87293,0.8729,0.87292,25.0,Interval.in_1_minute,57192180.0
2592,2592,2023-10-24 22:44:00,OANDA:AUDCAD,0.87292,0.872965,0.8729,0.87296,17.0,Interval.in_1_minute,57192240.0
2593,2593,2023-10-24 22:45:00,OANDA:AUDCAD,0.87296,0.87296,0.872935,0.87294,13.0,Interval.in_1_minute,57192300.0
