,currency,interval,open_time,close_time,signal_type,open_price,close_price,is_profit
163,GBPAUD,Interval.in_5_minute,2023-11-30 13:25:48,2023-11-30 13:50:55,long,1.91458,1.91426,False
164,EURJPY,Interval.in_1_minute,2023-11-30 14:15:47,2023-11-30 14:19:54,short,161.188,161.246,False
165,AUDCAD,Interval.in_1_minute,2023-11-30 14:20:32,2023-11-30 14:24:38,short,0.8983,0.89864,False
166,EURJPY,Interval.in_3_minute,2023-11-30 14:18:35,2023-11-30 14:30:41,short,161.237,161.22,True
167,AUDCAD,Interval.in_1_minute,2023-11-30 14:57:33,2023-11-30 15:01:40,short,0.89857,0.89846,True
168,EURUSD,Interval.in_1_minute,2023-11-30 15:32:18,2023-11-30 15:36:24,short,1.09366,1.09348,True
169,GBPAUD,Interval.in_1_minute,2023-11-30 15:33:34,2023-11-30 15:37:42,short,1.91582,1.91492,True
170,EURUSD,Interval.in_1_minute,2023-11-30 15:35:27,2023-11-30 15:39:34,short,1.09307,1.09302,True
171,AUDCAD,Interval.in_3_minute,2023-11-30 15:27:32,2023-11-30 15:39:39,short,0.89879,0.89918,False
172,EURUSD,Interval.in_1_minute,2023-11-30 15:38:19,2023-11-30 15:42:25,short,1.093,1.09282,True
173,EURUSD,Interval.in_3_minute,2023-11-30 15:36:30,2023-11-30 15:48:37,short,1.09348,1.09282,True
174,AUDUSD,Interval.in_3_minute,2023-11-30 16:12:28,2023-11-30 16:24:34,short,0.6598,0.65933,True
175,EURUSD,Interval.in_1_minute,2023-11-30 16:21:27,2023-11-30 16:25:35,short,1.09186,1.09186,True
176,AUDUSD,Interval.in_5_minute,2023-11-30 16:00:55,2023-11-30 16:26:02,short,0.65912,0.6594,False
177,AUDJPY,Interval.in_1_minute,2023-11-30 16:26:24,2023-11-30 16:30:31,short,97.614,97.631,False
178,AUDUSD,Interval.in_5_minute,2023-11-30 16:05:31,2023-11-30 16:30:38,short,0.65912,0.65916,False
179,AUDCAD,Interval.in_1_minute,2023-11-30 16:27:45,2023-11-30 16:31:53,short,0.89646,0.89622,True
180,AUDUSD,Interval.in_5_minute,2023-11-30 16:10:31,2023-11-30 16:35:39,short,0.65925,0.65862,True
181,AUDCAD,Interval.in_1_minute,2023-11-30 16:35:29,2023-11-30 16:39:36,short,0.8965,0.89572,True
182,EURCAD,Interval.in_1_minute,2023-11-30 16:56:21,2023-11-30 17:00:29,short,1.48289,1.48225,True
183,GBPAUD,Interval.in_1_minute,2023-11-30 17:03:33,2023-11-30 17:07:41,short,1.9154,1.9147,True
184,AUDCHF,Interval.in_1_minute,2023-11-30 17:08:22,2023-11-30 17:12:28,short,0.57739,0.57746,False
185,AUDCHF,Interval.in_1_minute,2023-11-30 17:20:35,2023-11-30 17:24:42,short,0.57739,0.57806,False
186,GBPAUD,Interval.in_1_minute,2023-11-30 17:22:25,2023-11-30 17:26:31,short,1.91339,1.9114,True
187,AUDCHF,Interval.in_1_minute,2023-11-30 17:30:48,2023-11-30 17:34:55,long,0.57787,0.57801,True
188,EURUSD,Interval.in_1_minute,2023-11-30 17:42:31,2023-11-30 17:46:39,short,1.09108,1.09106,True
189,AUDCAD,Interval.in_1_minute,2023-11-30 17:51:27,2023-11-30 17:55:33,long,0.89689,0.89819,True
190,AUDCAD,Interval.in_1_minute,2023-11-30 17:53:21,2023-11-30 17:57:28,long,0.89769,0.89904,True
191,EURUSD,Interval.in_3_minute,2023-11-30 17:45:46,2023-11-30 17:57:53,short,1.09125,1.09101,True
192,EURUSD,Interval.in_3_minute,2023-11-30 17:48:27,2023-11-30 18:00:35,short,1.09078,1.0911,False
193,GBPUSD,Interval.in_5_minute,2023-11-30 17:35:33,2023-11-30 18:00:40,short,1.26411,1.26572,False
194,GBPAUD,Interval.in_1_minute,2023-11-30 17:59:23,2023-11-30 18:03:30,short,1.90858,1.91035,False
195,GBPUSD,Interval.in_1_minute,2023-11-30 18:00:48,2023-11-30 18:04:58,short,1.26572,1.26532,True
196,GBPUSD,Interval.in_1_minute,2023-11-30 18:02:21,2023-11-30 18:06:27,short,1.26607,1.26556,True
197,EURUSD,Interval.in_3_minute,2023-11-30 17:57:32,2023-11-30 18:09:38,short,1.09101,1.09128,False
198,GBPUSD,Interval.in_3_minute,2023-11-30 18:03:30,2023-11-30 18:15:37,short,1.26521,1.26606,False
199,GBPUSD,Interval.in_1_minute,2023-11-30 18:12:30,2023-11-30 18:16:36,long,1.26549,1.26558,True
200,GBPUSD,Interval.in_1_minute,2023-11-30 18:14:24,2023-11-30 18:18:31,long,1.26622,1.26488,False
201,EURUSD,Interval.in_5_minute,2023-11-30 17:55:32,2023-11-30 18:20:40,short,1.0905,1.09038,True
202,GBPAUD,Interval.in_1_minute,2023-11-30 18:23:20,2023-11-30 18:27:28,long,1.9118,1.91102,False
203,AUDCAD,Interval.in_5_minute,2023-11-30 18:05:30,2023-11-30 18:30:37,short,0.89874,0.89882,False
204,EURUSD,Interval.in_1_minute,2023-11-30 18:27:26,2023-11-30 18:31:33,short,1.09085,1.0908,True
205,AUDUSD,Interval.in_1_minute,2023-11-30 18:29:22,2023-11-30 18:33:29,short,0.66214,0.662,True
206,GBPUSD,Interval.in_1_minute,2023-11-30 18:30:39,2023-11-30 18:34:45,short,1.2651,1.2644,True
207,AUDCAD,Interval.in_5_minute,2023-11-30 18:10:31,2023-11-30 18:35:38,short,0.89839,0.89874,False
208,AUDCAD,Interval.in_5_minute,2023-11-30 18:25:29,2023-11-30 18:50:35,short,0.89858,0.89848,True
209,AUDCHF,Interval.in_1_minute,2023-11-30 19:16:22,2023-11-30 19:20:29,short,0.57692,0.57669,True
210,EURJPY,Interval.in_1_minute,2023-11-30 19:20:30,2023-11-30 19:24:36,short,161.254,161.206,True
211,GBPAUD,Interval.in_1_minute,2023-11-30 19:26:33,2023-11-30 19:30:41,long,1.91181,1.91168,False
212,AUDJPY,Interval.in_1_minute,2023-11-30 19:28:24,2023-11-30 19:32:30,short,97.73,97.776,False
213,GBPAUD,Interval.in_1_minute,2023-11-30 19:33:36,2023-11-30 19:37:43,long,1.91137,1.91105,False
214,AUDUSD,Interval.in_1_minute,2023-11-30 19:41:24,2023-11-30 19:45:32,short,0.66048,0.66076,False
215,EURCAD,Interval.in_1_minute,2023-11-30 19:47:33,2023-11-30 19:51:41,short,1.47946,1.47917,True
216,EURUSD,Interval.in_1_minute,2023-11-30 20:15:43,2023-11-30 20:19:51,short,1.08973,1.08979,False
217,EURUSD,Interval.in_1_minute,2023-11-30 20:17:19,2023-11-30 20:21:25,short,1.08989,1.08983,True
